circuit_name,num_qubits,attack_type,noise_rate,tvd,risk_score,expected_label,predicted_label,correct
bb84_n8.qasm,8,Normal,0.02,0.215,8.27,0,0,True
bb84_n8.qasm,8,Gate Insertion,0.02,0.25,19.99,1,0,False
bb84_n8.qasm,8,Gate Deletion,0.02,0.29,50.43,1,1,True
bb84_n8.qasm,8,Gate Substitution,0.02,0.27,97.97,1,1,True
bb84_n8.qasm,8,Multiple Gate Insertion,0.02,0.27,20.73,1,0,False
bb84_n8.qasm,8,Normal,0.03,0.3,50.43,0,1,False
bb84_n8.qasm,8,Gate Insertion,0.03,0.295,50.43,1,1,True
bb84_n8.qasm,8,Gate Deletion,0.03,0.34,50.43,1,1,True
bb84_n8.qasm,8,Gate Substitution,0.03,0.345,97.83,1,1,True
bb84_n8.qasm,8,Multiple Gate Insertion,0.03,0.275,20.73,1,0,False
bb84_n8.qasm,8,Normal,0.04,0.305,50.43,0,1,False
bb84_n8.qasm,8,Gate Insertion,0.04,0.33,50.43,1,1,True
bb84_n8.qasm,8,Gate Deletion,0.04,0.39,74.5,1,1,True
bb84_n8.qasm,8,Gate Substitution,0.04,0.295,97.63,1,1,True
bb84_n8.qasm,8,Multiple Gate Insertion,0.04,0.305,51.57,1,1,True
bb84_n8.qasm,8,Normal,0.05,0.385,73.14,0,1,False
bb84_n8.qasm,8,Gate Insertion,0.05,0.31,50.43,1,1,True
bb84_n8.qasm,8,Gate Deletion,0.05,0.4,81.76,1,1,True
bb84_n8.qasm,8,Gate Substitution,0.05,0.34,97.63,1,1,True
bb84_n8.qasm,8,Multiple Gate Insertion,0.05,0.295,51.57,1,1,True
bell_n4.qasm,4,Normal,0.005,0.11,11.9,0,0,True
bell_n4.qasm,4,Gate Insertion,0.005,0.13,97.08,1,1,True
bell_n4.qasm,4,Gate Deletion,0.005,0.285,54.25,1,1,True
bell_n4.qasm,4,Gate Substitution,0.005,0.375,97.81,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.005,0.39,93.32,1,1,True
bell_n4.qasm,4,Normal,0.01,0.14,10.43,0,0,True
bell_n4.qasm,4,Gate Insertion,0.01,0.14,96.52,1,1,True
bell_n4.qasm,4,Gate Deletion,0.01,0.315,80.1,1,1,True
bell_n4.qasm,4,Gate Substitution,0.01,0.36,97.62,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.01,0.35,88.81,1,1,True
bell_n4.qasm,4,Normal,0.02,0.225,45.75,0,0,True
bell_n4.qasm,4,Gate Insertion,0.02,0.18,95.12,1,1,True
bell_n4.qasm,4,Gate Deletion,0.02,0.275,37.03,1,0,False
bell_n4.qasm,4,Gate Substitution,0.02,0.345,94.42,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.02,0.375,87.21,1,1,True
